Metric,Formula Description,Excel Formula Example,Weight,Max Value Used,Normalization Method,,,,
TVL Score,Total Value Locked normalized to 0-100 scale,#VALUE!,30%,197420000000 (Ethereum),Linear scaling where max TVL = 100 points,,,,
Fee Score,Chain Fees 24h normalized to 0-100 scale,0.3,35%,1440000 (BNB Chain),Linear scaling where max fees = 100 points,,,,
Volume Score,"Combined DEX + Perps volume, normalized",#VALUE!,35%,4980000000+1616000000 (Ethereum),Linear scaling where max volume = 100 points,,,,
Total Score,Weighted combination of all three scores,#NAME?,100%,68.3 (Ethereum),Weighted average of normalized components,,,,
,,,,,,,,,
DETAILED CALCULATION BREAKDOWN:,,,,,,,,,
,,,,,,,,,
Step 1: Raw Data Normalization,,,,,,,,,
Blockchain,TVL Raw,TVL Max,TVL Score Calc,Fee Raw,Fee Max,Fee Score Calc,Volume Raw,Volume Max,Volume Score Calc
Ethereum, 197'420'000'000.00 , 197'420'000'000.00 ,100,607146,1440000,42.2,6596000000,6596000000,100
Solana, 14'904'000'000.00 , 197'420'000'000.00 ,7.5,1000000,1440000,69.4,6596000000,6596000000,100
BNB Chain, 12'988'000'000.00 , 197'420'000'000.00 ,6.6,1440000,1440000,100,5465210000,6596000000,82.9
,,,,,,,,,
Step 2: Score Calculation Examples,,,,,,,,,
Chain,TVL Score (30%),Fee Score (35%),Volume Score (35%),Calculation,Total Score,,,,
Ethereum,(100*0.3),(42.2*0.35),(100*0.35),30.0+14.8+35.0,79.8,,,,
Solana,(7.5*0.3),(69.4*0.35),(100*0.35),2.3+24.3+35.0,61.6,,,,
BNB Chain,(6.6*0.3),(100*0.35),(82.9*0.35),2.0+35.0+29.0,66,,,,
,,,,,,,,,
Step 3: Excel Formulas for Implementation,,,,,,,,,
Column,Metric,Formula,Notes,,,,,,
S,TVL Score,#VALUE!,Assumes max TVL in row 27,,,,,,
T,Fee Score,85.71428571,Assumes BNB Chain max fees in row 4,,,,,,
U,Volume Score,#DIV/0!,Assumes Ethereum max volume in row 2,,,,,,
V,Total Score,0,Weighted combination,,,,,,
W,Rank,=RANK(V2,V:V,0),Descending rank based on total score,,,,
,,,,,,,,,
VERIFICATION CALCULATIONS:,,,,,,,,,
Max Values Identified:,,,,,,,,,
TVL Maximum: 197420000000 (Ethereum),,,,,,,,,
Fee Maximum: 1440000 (BNB Chain),,,,,,,,,
Volume Maximum: 6596000000 (Ethereum DEX+Perps combined),,,,,,,,,
,,,,,,,,,
Sample Calculations:,,,,,,,,,
Ethereum: (100*0.3) + (42.2*0.35) + (100*0.35) = 30 + 14.8 + 35 = 79.8,,,,,,,,,
Solana: (7.5*0.3) + (69.4*0.35) + (100*0.35) = 2.3 + 24.3 + 35 = 61.6,,,,,,,,,
,,,,,,,,,
RANKING METHODOLOGY:,,,,,,,,,
1. Normalize each metric to 0-100 scale using linear scaling,,,,,,,,,
2. Apply weights: TVL (30%) + Fees (35%) + Volume (35%) = 100%,,,,,,,,,
3. Calculate total weighted score for each chain,,,,,,,,,
4. Rank chains by total score (highest to lowest),,,,,,,,,
5. Assign final ranking numbers 1-25,,,,,,,,,
